CODE_NUTS3,COVID_Mortality_R,POP_DENS,POP 0-14,POP 15-29,POP 30-44,POP 45-59,POP_GROWTH,HOUSEHOLDS,DWELLINGS
AT130,11.4462670601408,4636.0,280328.0,386445.0,434245.0,404062.0,8.0,918655,1037729
DK050,5.04553596205757,75.0,93508.0,114449.0,99287.0,120889.0,2.0,285795,308341
FR101,84.3893679670662,20334.0,297869.0,497195.0,465642.0,400913.0,-3.0,1123970,1373139
FR102,50.2455435150266,241.0,297247.0,264533.0,287928.0,290189.0,3.0,554540,604082
FR103,40.65484178317,624.0,289325.0,253838.0,280752.0,295188.0,1.0,575404,628815
FR104,42.103634112592,725.0,274043.0,252830.0,264684.0,262715.0,4.0,515998,550398
FR105,69.2530246911278,9165.0,302193.0,310947.0,355413.0,314958.0,1.0,712669,789097
FR106,61.5913097193136,7009.0,373629.0,330521.0,368450.0,307921.0,5.0,633706,661868
FR107,87.9774205592503,5713.0,268753.0,275790.0,294563.0,274524.0,3.0,587482,625732
FR108,58.5473989315501,996.0,273613.0,236582.0,259926.0,239766.0,3.0,470828,497300
FRF21,22.4389660124461,51.0,45556.0,41299.0,46221.0,56314.0,-4.0,119412,141882
FRF22,44.2546483532102,51.0,55676.0,52292.0,54339.0,60536.0,1.0,140499,162917
FRF23,48.2510746430037,69.0,100600.0,106979.0,103078.0,111495.0,0.0,258320,291832
FRF24,52.0110957004161,28.0,26843.0,25866.0,28143.0,36173.0,-3.0,80014,100631
FRE21,54.5093214725088,71.0,98792.0,84502.0,94062.0,106759.0,-2.0,227997,263942
FRE22,50.9407091285509,140.0,163784.0,141518.0,159132.0,170337.0,1.0,334497,368987
FRE23,40.853684195761,92.0,98849.0,106620.0,101384.0,112783.0,0.0,247452,296826
FRD21,13.9928521218926,101.0,117445.0,94285.0,112944.0,125448.0,2.0,252879,292705
FRD22,14.7997987227374,198.0,225630.0,225330.0,225196.0,245128.0,0.0,558527,633849
FRB01,28.3104961997322,41.0,47954.0,42212.0,48409.0,62644.0,-3.0,139936,177713
FRB02,107.659573482868,73.0,82263.0,65200.0,78313.0,88375.0,0.0,182984,213656
FRB03,37.732202594319,32.0,32023.0,29081.0,32962.0,45604.0,-3.0,103287,138104
FRB04,15.2614382838923,99.0,103870.0,106794.0,106850.0,119831.0,1.0,278490,318645
FRB05,19.632124195838,52.0,55201.0,47987.0,54500.0,68918.0,0.0,148850,182656
FRB06,15.2952422972277,100.0,127510.0,115612.0,123226.0,134297.0,2.0,296183,341241
FRD11,12.2731453472506,124.0,116656.0,122845.0,119254.0,135665.0,0.0,309454,411666
FRD12,10.1411650170372,82.0,79856.0,72853.0,79923.0,102049.0,-1.0,224582,294982
FRD13,15.3646605660627,46.0,45163.0,39899.0,43762.0,57325.0,-2.0,127270,164492
FRC11,47.0340444031361,61.0,86726.0,102242.0,94509.0,105022.0,1.0,246027,285069
FRC12,13.8997135666169,29.0,28470.0,26073.0,29815.0,41097.0,-5.0,98645,141465
FRC13,36.7068503705211,64.0,88535.0,76907.0,89256.0,113949.0,-1.0,252943,308912
FRC14,28.2052271708376,45.0,57561.0,47520.0,56816.0,68721.0,-1.0,150868,195645
FRE11,26.2017146710336,451.0,500741.0,511956.0,495068.0,493781.0,0.0,1093771,1203975
FRE12,2.25283806395193,219.0,278337.0,253232.0,273127.0,291055.0,0.0,608848,707568
FRF31,49.816973803096,139.0,123918.0,143666.0,133917.0,142034.0,0.0,330944,372828
FRF32,55.8229275060701,30.0,30841.0,28015.0,31413.0,38531.0,-3.0,82449,99460
