CODE_NUTS3,POP_DENS,POP 0-14,POP 15-29,POP 30-44,POP 45-59,POP_GROWTH,HOUSEHOLDS,DWELLINGS
DEC03,529.0,15559.0,20069.0,21641.0,32475.0,-1.0,66252,69098
DE945,721.0,9054.0,14393.0,11290.0,16540.0,1.0,43962,45708
DE221,1096.0,9366.0,13431.0,14711.0,15587.0,9.0,38229,38163
DE502,1505.0,16522.0,20190.0,19902.0,24406.0,4.0,62067,64077
FRB02,73.0,82263.0,65200.0,78313.0,88375.0,0.0,182984,213656
DE725,73.0,12987.0,15962.0,16978.0,26193.0,0.0,50235,51572
UKH23,727.0,231685.0,200654.0,246316.0,249725.0,3.0,505062,495053
DE94E,168.0,51946.0,59597.0,60595.0,86191.0,1.0,161549,159247
DE266,78.0,10722.0,12858.0,13174.0,19628.0,0.0,36966,39146
DE22A,95.0,16098.0,20781.0,21187.0,28912.0,3.0,54232,54467
NL212,369.0,25204.0,28164.0,27484.0,35289.0,2.0,69203,68791
DEC06,183.0,9951.0,12815.0,13909.0,22171.0,-2.0,41648,43928
FRG04,90.0,101435.0,90828.0,95375.0,112132.0,-1.0,247856,289186
DEA44,117.0,19052.0,23085.0,22356.0,34227.0,-2.0,63900,67310
DED53,98.0,25339.0,21593.0,34754.0,49237.0,0.0,100548,109863
UKE32,1599.0,100682.0,151540.0,106827.0,106791.0,4.0,252982,249034
DEG02,620.0,11337.0,11587.0,15620.0,20995.0,-1.0,55602,61126
NL342,258.0,44331.0,47088.0,45765.0,60119.0,2.0,125748,132810
DEA41,1287.0,47419.0,65204.0,63409.0,70749.0,1.0,169002,171137
DEB24,66.0,7551.0,9326.0,9458.0,14743.0,-1.0,28539,32791
UKN16,39.0,24022.0,20640.0,22588.0,23918.0,2.0,44845,49174
DEB3B,219.0,17997.0,20445.0,22645.0,32227.0,3.0,57201,59617
RO125,80.0,88631.0,89451.0,113602.0,107504.0,-2.0,189416,232616
DEB1B,203.0,27711.0,31978.0,34507.0,50219.0,1.0,90695,52261
UKK23,164.0,93221.0,85367.0,89063.0,121328.0,4.0,251110,150871
NL311,863.0,232013.0,264564.0,258419.0,281809.0,6.0,602452,572804
UKK43,122.0,123295.0,131324.0,124481.0,168090.0,5.0,359829,377142
DE118,312.0,49198.0,58937.0,64787.0,82051.0,5.0,155549,157103
DEG0J,101.0,10382.0,9122.0,14269.0,20354.0,-2.0,40645,42855
DE238,139.0,27612.0,31614.0,36076.0,48064.0,4.0,88007,87900
FRB05,52.0,55201.0,47987.0,54500.0,68918.0,0.0,148850,182656
CH070,126.0,47262.0,55564.0,66137.0,85262.0,2.0,163212,240779
DE244,795.0,5956.0,8129.0,7772.0,10167.0,3.0,26113,27321
UKF22,301.0,125034.0,132707.0,129790.0,160557.0,6.0,317975,319076
UKN14,288.0,27776.0,25027.0,28694.0,31134.0,5.0,59084,62324
DE600,2498.0,261011.0,344130.0,417818.0,391391.0,6.0,1013795,963622
