CODE_NUTS3,POP_DENS,POP 0-14,POP 15-29,POP 30-44,POP 45-59,POP_GROWTH,HOUSEHOLDS,DWELLINGS,SURFACE AREA,NTL_avg,NO2_avg,WIND_Avg,Temp_mean_over12yrs,PRESSURE_avg,PRECIPITATION,SOLAR_RAD_avg,LAI_avg
DEC03,529.0,15559.0,20069.0,21641.0,32475.0,-1.0,66252,69098,246.65,31.3368053436279,4.09521065056324,3.36035879850388,8.77871525585651,0.930109947919846,80.0843755086263,10764.8718221029,1.66527776993238
DE945,721.0,9054.0,14393.0,11290.0,16540.0,1.0,43962,45708,104.67,41.875,4.31369919137257,5.50180027882258,9.04996069769065,0.986934617161751,68.6419143676758,9523.26534525553,1.95643197993437
DE221,1096.0,9366.0,13431.0,14711.0,15587.0,9.0,38229,38163,65.19,35.7986106872559,3.13591203860663,2.53153936068217,8.40928403448058,0.907395007354873,67.520006497701,10935.8463251023,1.73148149914212
DE502,1505.0,16522.0,20190.0,19902.0,24406.0,4.0,62067,64077,74.42,57.1458320617676,4.10657436395303,5.2138888835907,9.23392857114474,0.987883577744166,59.6560846964518,9548.50536092122,1.60477165381114
FRB02,73.0,82263.0,65200.0,78313.0,88375.0,0.0,182984,213656,5870.03,10.0013084165428,2.76390681607565,4.14845521847407,10.3578449090322,1.02979460272524,52.7059953096178,11398.9143975152,0.43890008074522
DE725,73.0,12987.0,15962.0,16978.0,26193.0,0.0,50235,51572,1440.19,8.07341271355039,4.19634953911106,3.45844297764594,7.9430555646316,0.886785148397872,73.504903793335,10181.2257422732,1.88512731881605
UKH23,727.0,231685.0,200654.0,246316.0,249725.0,3.0,505062,495053,1621.66,36.6508839347146,5.66961392332877,4.38113148912551,9.70098377787878,0.98286844648066,54.8024968344068,9670.6321508014,1.662295470929
DE94E,168.0,51946.0,59597.0,60595.0,86191.0,1.0,161549,159247,2093.17,12.3272221946716,5.58210647746369,3.64036573886871,9.2760902774334,0.962467585802078,67.3759489568074,9588.80232055664,2.44231234387868
DE266,78.0,10722.0,12858.0,13174.0,19628.0,0.0,36966,39146,1008.73,7.09085651238759,3.72871296863865,3.18290342319579,7.98091932474857,0.877728997774067,64.3314732824053,10288.6880435035,1.69510582430022
DE22A,95.0,16098.0,20781.0,21187.0,28912.0,3.0,54232,54467,1267.69,9.09635424613953,2.48132144070347,2.23710213042796,8.25992109610464,0.908655959026267,74.3305120269458,10801.3231290181,2.46325231393178
NL212,369.0,25204.0,28164.0,27484.0,35289.0,2.0,69203,68791,419.29,20.9833337783813,5.87922222570137,3.77042824029922,9.62174002991782,1.00713830275668,66.9366318384806,9652.01637437608,2.62483850190806
DEC06,183.0,9951.0,12815.0,13909.0,22171.0,-2.0,41648,43928,471.16,13.4062501589457,4.61367014127749,3.59369213382403,8.02090564463288,0.903538774698973,83.8117761611938,10692.9314524333,1.74818841529929
FRG04,90.0,101435.0,90828.0,95375.0,112132.0,-1.0,247856,289186,6183.74,10.1516203819177,1.79640740506627,3.96004166338179,11.1287168206109,1.05993526664045,57.7710184945001,11596.0873640951,0.866591596871564
DEA44,117.0,19052.0,23085.0,22356.0,34227.0,-2.0,63900,67310,1185.31,8.64861119588216,4.68200925977694,3.54975611255282,8.50928815773555,0.917532243544147,70.8852928706578,9738.30034092494,1.97453391027451
DED53,98.0,25339.0,21593.0,34754.0,49237.0,0.0,100548,109863,1997.37,11.229645605745,4.16285648710198,3.78515179493488,9.20030711255803,0.935451171910151,48.0679310713059,10148.6280353253,1.19719185745253
UKE32,1599.0,100682.0,151540.0,106827.0,106791.0,4.0,252982,249034,363.18,29.9944438934326,5.58533796325878,4.65231483512455,8.81576004955504,0.933234959840775,79.5787029266357,9341.55427720812,1.9932635472371
DEG02,620.0,11337.0,11587.0,15620.0,20995.0,-1.0,55602,61126,150.26,26.40625,4.39464815700496,3.39103007316589,8.81747674196959,0.908223380645116,49.7129634221395,10080.3304036458,1.50727047125498
NL342,258.0,44331.0,47088.0,45765.0,60119.0,2.0,125748,132810,1071.97,17.4368685809049,8.0390379885365,5.35877632977916,10.264654981155,1.05758988243692,64.754015604655,10125.2132813697,1.42572930401989
DEA41,1287.0,47419.0,65204.0,63409.0,70749.0,1.0,169002,171137,255.32,38.1145830154419,5.15950926189069,3.57526042064031,9.33475123842557,0.940911449491978,71.8272573153178,9610.88675435384,1.87249999046326
DEB24,66.0,7551.0,9326.0,9458.0,14743.0,-1.0,28539,32791,900.33,10.2430556217829,4.07116203727546,3.79789737694793,7.75724347030013,0.889699073301421,81.2805746926202,10282.0765652127,2.05472524269767
UKN16,39.0,24022.0,20640.0,22588.0,23918.0,2.0,44845,49174,2965.34,6.86527773737907,1.29444371176326,3.96249034196611,9.12034830592927,0.975406745123485,118.027033805847,8939.30379667736,2.57878938884637
DEB3B,219.0,17997.0,20445.0,22645.0,32227.0,3.0,57201,59617,581.03,15.3075399398804,5.74220602236412,2.90006611744563,9.85506784419219,0.956467431216013,47.7977844874064,10564.5404227121,0.758504454046488
RO125,80.0,88631.0,89451.0,113602.0,107504.0,-2.0,189416,232616,6656.59,5.49086255423332,1.12745370379201,1.48063466933709,7.26697361885024,0.880778244904828,53.2277456315761,12767.3105167437,1.5360795439251
