COUNTRY,NUTS2,NUTS3,CODE,CODE_NUTS2,CODE_NUTS3,POPULATION,POP_DENS,POP>=60,%POP>=60,FEMEALES,%FEMEALS,POP 0-14,POP 15-29,POP 30-44,POP 45-59,POP_GROWTH,HOUSEHOLDS,DWELLINGS,SURFACE AREA,UNEM_R,D_MEDICALE,COPD %,Respiratory dis mortality,Smokers %,Diabetes %,Diabetes mortality,Cardiovascular dis mortality,BEDS_Intcare/reanim,COVID19_D,COVID_Mortality_R,COVID19_CCONF,COVID_Cases_R,COVID19_TESTS,DURATION_LD (days),Lag_1stCase-LD (days),LD_SEVEIRTY_W1,LD_SEVEIRTY_W2,LD_SEVEIRTY_W3,LD_SEVEIRTY_W4,LD_SEVEIRTY_W5,LD_SEVEIRTY_W6,LD_SEVEIRTY_W7,LD_SEVEIRTY_W8,LD_SEVEIRTY_W9,LD_SEVEIRTY_W10,LD_SEVEIRTY_W11,LD_SEVEIRTY_W12,LD_SEVEIRTY_W13,LD_SEVEIRTY_W14,LD_SEVEIRTY_W15,LD_SEVEIRTY_W16,LD_SEVEIRTY_W17,LD_SEVEIRTY_W18,LD_SEVEIRTY_W19,LD_SEVEIRTY_W20,LD_SEVEIRTY_W21,LD_SEVEIRTY_W22,LD_SEVEIRTY_W23,LD_SEVEIRTY_W24,LD_SEVEIRTY_W25,LD_SEVEIRTY_W26,LD_SEVEIRTY_W27,LD_SEVEIRTY_W28,LD_SEVEIRTY_W29,LD_SEVEIRTY_W30,LD_SEVEIRTY_W31,LD_SEVEIRTY_W32,LD_SEVEIRTY_W33,LD_SEVEIRTY_W34,LD_SEVEIRTY_W35,NO2_avg,WIND_Avg,Temp_mean_over12yrs,NTL_avg,PRESSURE_avg,PRECIPITATION,SOLAR_RAD_avg,LAI_avg
Austria,-,-,AT,-,-,8971664,107.1,2239965,24.967107551063,4559078,50.816414881342,1294476,1593542,1792151,2051530,4.1,3982408,4744861,83878,,,,,,,,,2681,726,8.09214433353724,27264,303.890114475977,1180711,46,20,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Austria,Burgenland,-,AT,AT11,-,297048,,87107,29.3242169615685,151348,50.9506881042794,39085,43364,54915,72577,,127378,157610,,4.2,420.06,5.14517029592406,43.06,19.1568955890564,9.96889207944484,39.79,417.05,89,11,3.70310522205166,505,170.006194285099,,46,20,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Austria,Burgenland,Mittelburgenland,AT,AT11,AT111,37899,54,12030,31.7422623288213,19302,50.9301036966675,4750,5301,6601,9217,1,15995,20578,694.83,,,,,,,,,,,,35,92.3507216549249,,46,20,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.630770832245,3.0002893493289,9.20741567547832,8.24131941795349,0.923921127049696,57.2322252818516,11746.1808733259,1.79025608301163
Austria,Burgenland,Nordburgenland,AT,AT11,AT112,161164,90,44838,27.8213496810702,82196,51.0014643468765,22201,23890,31074,39161,5,69787,85577,1774.58,,,,,,,,,,,,259,160.705864833337,,46,20,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.630770832245,3.17565585921208,10.0780237297424,12.3642360448837,0.964879193032781,49.1824846665065,11775.1251720852,1.44759598507413
Austria,Burgenland,Südburgenland,AT,AT11,AT113,97985,67,30239,30.8608460478645,49850,50.8751339490738,12134,14173,17240,24199,1,41596,51455,1459.03,,,,,,,,,,,,211,215.33908251263,,46,20,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15136573887258,2.41281828339453,9.10713411700325,9.80208337306976,0.940495437218083,62.4681391097881,11758.2730238173,1.87744219147641
Austria,Niederösterreich,-,AT,AT12,-,1698811,,449914,26.484052669779,862415,50.7658003156325,245548,276435,317206,409708,,736162,917870,,3.8,465.62,4.22117577289382,57.9,20.3444575446722,7.17564581377124,36.7,384.07,388,115,6.76944050868519,1752,103.130954532317,,46,20,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Austria,Niederösterreich,Mostviertel-Eisenwurzen,AT,AT12,AT121,249799,74,62097,24.8587864643173,125168,50.1074864190809,38993,43882,47541,57286,3,99432,118739,3323.75,,,,,,,,,,,,683,273.419829542952,,46,20,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27387225409487,2.19764710100074,7.69359313798129,8.64087296525637,0.859185398605309,68.9507492885255,10997.6440461811,2.5843672811985
Austria,Niederösterreich,Niederösterreich-Süd,AT,AT12,AT122,263716,78,70430,26.7067603027499,134051,50.8315763927862,38115,43783,49538,61850,3,116728,148527,3343.88,,,,,,,,,,,,583,221.071152300202,,46,20,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58104629356552,3.00054902143967,7.59908300581086,8.5620040407493,0.811457442422198,74.0298699802823,11348.9581215361,2.40152979651584
Austria,Niederösterreich,Sankt Pölten,AT,AT12,AT123,157403,128,40358,25.6399179177017,79785,50.6883604505632,23128,26760,29826,37331,5,67886,81959,1219.21,,,,,,,,,,,,486,308.761586500893,,46,20,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33694541341545,2.5255626351745,8.53454861149442,12.0902777314186,0.886405608444302,59.4089504524514,11216.0489603678,2.29008472493265
Austria,Niederösterreich,Waldviertel,AT,AT12,AT124,219727,48,64518,29.3628002020689,110795,50.423935155898,28879,35456,38422,52452,1,95350,126916,4565.04,,,,,,,,,,,,265,120.604204308073,,46,20,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17148090760465,2.57027713880863,7.11830953859874,7.29402279853821,0.838102281599501,57.1874143576916,10974.2642826033,1.89198894272633
